,min,max,avg,var
0,24.0,43.0,28.446666666666665,7.78048888888889
1,22.0,66.0,25.523333333333333,8.922788888888888
2,27.0,58.0,30.763333333333332,9.327322222222222
3,22.0,66.0,25.846666666666668,14.649822222222223
4,26.0,58.0,30.85,11.867500000000003
5,22.0,66.0,26.866666666666667,22.868888888888893
6,27.0,58.0,31.256666666666668,18.164122222222225
7,22.0,66.0,26.593333333333334,40.8946222222222
8,27.0,114.0,32.04,58.11173333333333
9,22.0,114.0,28.65,151.55416666666662
10,22.0,113.0,32.20333333333333,360.2553222222222
11,21.0,159.0,44.23,1095.6104333333333
12,21.0,159.0,74.06666666666666,1938.6422222222225
13,22.0,159.0,101.3,1721.81
14,24.0,159.0,116.19333333333333,1476.429288888889
15,24.0,159.0,125.02,1102.4462666666666
16,24.0,256.0,129.12333333333333,1194.6281222222221
17,30.0,352.0,132.61666666666667,1685.3430555555556
18,31.0,351.0,138.28333333333333,1981.4097222222224
19,30.0,351.0,144.24,2892.995733333333
20,29.0,351.0,162.28666666666666,4808.111155555555
21,30.0,351.0,187.53333333333333,7051.115555555555
22,29.0,351.0,219.21,10127.352566666666
23,30.0,351.0,252.59666666666666,11761.573988888891
24,31.0,351.0,275.1766666666667,10727.47878888889
25,30.0,351.0,289.50666666666666,10620.08328888889
26,30.0,352.0,306.9266666666667,8237.987955555556
27,30.0,351.0,305.70666666666665,7466.307288888888
28,30.0,352.0,311.4633333333333,8544.121988888888
29,30.0,351.0,293.21666666666664,7461.683055555555
