,min,max,avg,mutate_num
0,48.0,70.0,52.626666666666665,0.0
1,21.0,66.0,24.366666666666667,77.0
2,26.0,111.0,29.843333333333334,85.0
3,26.0,203.0,30.503333333333334,96.0
4,21.0,66.0,26.286666666666665,79.0
5,27.0,256.0,37.21666666666667,79.0
6,26.0,351.0,71.83,90.0
7,25.0,589.0,171.87333333333333,79.0
8,19.0,351.0,59.46333333333333,96.0
9,27.0,589.0,206.79666666666665,89.0
10,20.0,589.0,72.28333333333333,96.0
11,19.0,589.0,125.46333333333334,96.0
12,20.0,637.0,310.68,96.0
13,24.0,637.0,445.52,104.0
14,24.0,589.0,483.43,106.0
15,20.0,589.0,454.77666666666664,102.0
16,20.0,590.0,509.84,81.0
17,21.0,590.0,498.80333333333334,94.0
18,21.0,589.0,476.2966666666667,100.0
19,21.0,589.0,490.98333333333335,135.0
20,21.0,589.0,234.34,121.0
21,19.0,589.0,464.27,109.0
22,21.0,590.0,492.9266666666667,110.0
23,21.0,589.0,460.6566666666667,116.0
