,min,max,avg,mutate_num
0,24.0,63.0,29.266666666666666,0.0
1,19.0,94.0,23.336666666666666,83.0
2,19.0,35.0,22.19,86.0
3,24.0,94.0,28.89,88.0
4,19.0,34.0,22.436666666666667,93.0
5,19.0,113.0,23.44,116.0
6,19.0,113.0,28.56,98.0
7,19.0,115.0,40.97,95.0
8,24.0,115.0,60.78666666666667,117.0
9,24.0,209.0,63.15,170.0
10,19.0,161.0,67.26333333333334,96.0
11,25.0,256.0,73.68333333333334,86.0
12,25.0,209.0,75.65666666666667,94.0
13,20.0,161.0,68.10333333333334,92.0
14,25.0,209.0,76.82,77.0
15,20.0,162.0,71.48666666666666,93.0
16,25.0,209.0,77.72666666666667,101.0
17,20.0,161.0,68.63333333333334,88.0
18,25.0,161.0,76.51,98.0
19,25.0,209.0,76.24,93.0
20,20.0,163.0,72.07,101.0
21,19.0,256.0,72.45333333333333,97.0
22,25.0,303.0,74.89666666666666,89.0
23,20.0,161.0,76.49,87.0
24,25.0,303.0,87.92333333333333,93.0
25,20.0,162.0,82.96,91.0
26,25.0,162.0,96.05333333333333,79.0
