,min,max,avg,mutate_num
0,23.0,113.0,28.626666666666665,0.0
1,21.0,66.0,25.49,83.0
2,27.0,256.0,38.913333333333334,86.0
3,25.0,256.0,96.86,86.0
4,24.0,256.0,208.03666666666666,93.0
5,25.0,257.0,235.06666666666666,91.0
6,26.0,257.0,229.99666666666667,89.0
7,27.0,257.0,235.38,78.0
8,26.0,258.0,234.92333333333335,96.0
9,22.0,258.0,232.58333333333334,199.0
10,22.0,256.0,199.00333333333333,338.0
11,29.0,256.0,213.24,128.0
12,26.0,257.0,223.9,144.0
13,27.0,256.0,215.17333333333335,183.0
14,26.0,256.0,217.30333333333334,201.0
15,27.0,256.0,211.22,209.0
16,26.0,256.0,205.31333333333333,282.0
17,27.0,256.0,207.18666666666667,248.0
