,min,max,avg,mutate_num
0,31.0,352.0,42.093333333333334,0.0
1,24.0,256.0,34.65,99.0
2,24.0,256.0,75.53666666666666,78.0
3,24.0,446.0,160.15333333333334,87.0
4,24.0,446.0,204.27333333333334,86.0
5,24.0,446.0,229.37666666666667,99.0
6,25.0,446.0,230.73333333333332,84.0
7,25.0,446.0,240.26333333333332,99.0
8,26.0,446.0,232.00333333333333,293.0
9,25.0,446.0,231.41,310.0
10,25.0,446.0,230.27333333333334,347.0
11,25.0,446.0,257.13666666666666,362.0
12,25.0,446.0,311.3566666666667,313.0
13,25.0,446.0,328.35,262.0
14,25.0,446.0,341.8933333333333,264.0
15,25.0,446.0,349.56333333333333,226.0
16,26.0,446.0,371.07666666666665,249.0
17,25.0,446.0,367.69666666666666,305.0
18,25.0,446.0,369.4533333333333,300.0
19,26.0,446.0,356.33666666666664,310.0
20,25.0,446.0,339.47,333.0
21,24.0,446.0,353.28333333333336,332.0
22,25.0,446.0,337.23333333333335,325.0
23,25.0,446.0,353.5566666666667,320.0
24,26.0,446.0,358.19,316.0
25,26.0,446.0,359.63666666666666,310.0
