,min,max,avg,mutate_num
0,24.0,54.0,27.953333333333333,0.0
1,23.0,44.0,26.14,103.0
2,23.0,44.0,26.423333333333332,90.0
3,28.0,50.0,32.49333333333333,97.0
4,29.0,49.0,32.56,92.0
5,24.0,40.0,27.7,216.0
6,29.0,46.0,32.71,220.0
7,28.0,45.0,29.05666666666667,221.0
8,28.0,45.0,29.476666666666667,220.0
9,29.0,45.0,30.85333333333333,253.0
10,29.0,41.0,30.703333333333333,277.0
11,29.0,113.0,32.43,312.0
12,24.0,66.0,27.483333333333334,100.0
13,29.0,148.0,32.946666666666665,104.0
14,23.0,113.0,27.513333333333332,88.0
15,23.0,113.0,30.79,102.0
16,22.0,113.0,33.656666666666666,114.0
17,22.0,148.0,42.303333333333335,128.0
18,22.0,113.0,56.96333333333333,99.0
19,22.0,148.0,81.82333333333334,103.0
20,22.0,114.0,98.85666666666667,117.0
21,23.0,351.0,130.61,110.0
22,31.0,351.0,145.23333333333332,71.0
23,28.0,304.0,149.43333333333334,97.0
24,23.0,351.0,172.93,88.0
25,28.0,116.0,107.73666666666666,98.0
26,29.0,351.0,207.57666666666665,79.0
27,28.0,303.0,216.92,85.0
28,23.0,352.0,113.46333333333334,88.0
29,40.0,351.0,116.10333333333334,90.0
30,32.0,351.0,117.24,98.0
31,26.0,113.0,76.18333333333334,95.0
32,28.0,41.0,40.60666666666667,99.0
33,31.0,303.0,206.05,93.0
34,22.0,352.0,251.61666666666667,89.0
35,27.0,352.0,275.36333333333334,79.0
36,26.0,351.0,278.82,100.0
37,32.0,352.0,121.13,90.0
38,32.0,352.0,266.71,117.0
39,26.0,303.0,116.26,328.0
40,21.0,351.0,243.34333333333333,91.0
41,26.0,351.0,158.74666666666667,88.0
42,31.0,351.0,197.90333333333334,100.0
43,31.0,351.0,259.8,102.0
44,26.0,351.0,277.28333333333336,102.0
45,26.0,351.0,267.4033333333333,280.0
46,28.0,351.0,259.7033333333333,285.0
47,28.0,351.0,279.65,270.0
