,min,max,avg,mutate_num
0,23.0,38.0,26.9,0.0
1,21.0,39.0,24.24,89.0
2,21.0,39.0,24.403333333333332,101.0
3,21.0,39.0,25.456666666666667,103.0
4,41.0,87.0,44.83,84.0
5,21.0,39.0,25.486666666666668,104.0
6,21.0,39.0,24.62,100.0
7,21.0,39.0,24.703333333333333,79.0
8,21.0,40.0,25.81,89.0
9,27.0,44.0,30.803333333333335,115.0
10,21.0,44.0,25.863333333333333,299.0
11,21.0,44.0,24.79,279.0
12,21.0,44.0,25.706666666666667,258.0
13,26.0,49.0,29.89666666666667,302.0
14,21.0,44.0,24.893333333333334,308.0
15,21.0,44.0,24.92,312.0
16,21.0,44.0,24.86,298.0
17,21.0,44.0,24.87,307.0
18,21.0,44.0,25.816666666666666,289.0
19,21.0,44.0,24.946666666666665,356.0
20,21.0,44.0,26.136666666666667,320.0
21,21.0,44.0,25.973333333333333,373.0
22,21.0,44.0,24.933333333333334,365.0
23,27.0,66.0,31.05666666666667,366.0
24,26.0,66.0,31.026666666666667,102.0
25,26.0,66.0,31.123333333333335,101.0
26,26.0,66.0,30.156666666666666,122.0
27,26.0,94.0,30.946666666666665,135.0
28,21.0,133.0,23.273333333333333,118.0
29,20.0,113.0,27.726666666666667,94.0
30,20.0,103.0,30.436666666666667,94.0
31,20.0,103.0,34.74,90.0
32,19.0,103.0,42.67333333333333,92.0
33,19.0,103.0,48.833333333333336,110.0
34,19.0,138.0,57.13333333333333,200.0
35,19.0,138.0,61.46666666666667,97.0
36,20.0,149.0,69.16,97.0
37,20.0,256.0,93.31666666666666,110.0
38,25.0,138.0,94.93333333333334,90.0
39,21.0,256.0,110.48333333333333,97.0
