,min,max,avg,mutate_num
0,34.0,62.0,39.48,0.0
1,20.0,204.0,22.33,72.0
2,21.0,203.0,29.086666666666666,107.0
3,21.0,203.0,49.263333333333335,88.0
4,20.0,256.0,102.35666666666667,92.0
5,24.0,256.0,177.86333333333334,85.0
6,25.0,256.0,188.34333333333333,76.0
7,26.0,256.0,190.66333333333333,92.0
8,26.0,256.0,192.00333333333333,100.0
9,26.0,256.0,178.70666666666668,325.0
10,26.0,256.0,180.37333333333333,318.0
11,26.0,256.0,186.14333333333335,338.0
12,26.0,256.0,193.44333333333333,332.0
13,26.0,256.0,191.86,358.0
14,26.0,351.0,199.83,336.0
15,26.0,351.0,226.19333333333333,87.0
16,27.0,352.0,222.99666666666667,81.0
17,27.0,256.0,223.26333333333332,89.0
18,27.0,351.0,236.90666666666667,101.0
19,28.0,257.0,222.67333333333335,87.0
20,27.0,257.0,233.76,95.0
21,27.0,258.0,239.86666666666667,78.0
22,22.0,257.0,226.74333333333334,106.0
23,27.0,257.0,224.97666666666666,87.0
24,26.0,256.0,209.29,303.0
25,26.0,351.0,193.22,336.0
26,26.0,256.0,228.52666666666667,103.0
27,26.0,257.0,234.75,76.0
28,27.0,258.0,230.06666666666666,90.0
