,min,max,avg,mutate_num
0,38.0,50.0,41.2,0.0
1,20.0,33.0,23.383333333333333,85.0
2,20.0,48.0,23.47,93.0
3,21.0,34.0,24.593333333333334,82.0
4,20.0,33.0,24.56,92.0
5,21.0,66.0,25.05,119.0
6,26.0,351.0,33.983333333333334,134.0
7,25.0,351.0,74.25,85.0
8,24.0,351.0,208.24666666666667,81.0
9,24.0,351.0,274.85,86.0
10,24.0,352.0,284.39666666666665,108.0
11,25.0,351.0,283.74333333333334,270.0
12,26.0,637.0,277.91333333333336,272.0
13,26.0,637.0,326.28333333333336,91.0
14,30.0,351.0,323.5466666666667,83.0
15,26.0,306.0,285.4533333333333,88.0
16,31.0,352.0,330.7966666666667,85.0
17,30.0,353.0,324.4,90.0
18,22.0,355.0,317.62333333333333,86.0
19,33.0,351.0,115.35666666666667,100.0
20,38.0,351.0,121.6,95.0
21,27.0,354.0,296.4533333333333,213.0
22,24.0,352.0,289.76,258.0
23,28.0,589.0,293.11333333333334,231.0
24,22.0,352.0,313.9866666666667,90.0
25,27.0,352.0,312.68,89.0
26,27.0,352.0,325.36333333333334,90.0
27,27.0,351.0,283.25,85.0
28,27.0,353.0,314.01666666666665,82.0
