,min,max,avg,var
0,24.0,49.0,27.926666666666666,8.387955555555555
1,21.0,83.0,24.696666666666665,26.564655555555554
2,22.0,250.0,26.856666666666666,205.0361222222222
3,26.0,66.0,31.703333333333333,41.481988888888885
4,26.0,256.0,33.096666666666664,219.47398888888884
5,26.0,256.0,39.94,1509.8964
6,25.0,256.0,93.89333333333333,8728.71528888889
7,26.0,256.0,197.34333333333333,6777.652122222223
8,29.0,256.0,154.99,1417.7432333333334
9,31.0,256.0,166.57,2180.4984333333337
10,28.0,256.0,176.71333333333334,2159.3244888888885
11,28.0,256.0,185.15666666666667,2700.752122222222
12,28.0,256.0,188.69333333333333,2180.492622222222
13,28.0,256.0,232.05,2245.1075
14,28.0,256.0,203.48,2825.156266666667
15,28.0,256.0,230.66666666666666,2682.882222222222
16,32.0,257.0,234.00666666666666,2232.613288888889
17,28.0,256.0,161.4,730.2466666666668
18,31.0,256.0,195.63,2894.2731000000003
19,34.0,256.0,225.16333333333333,2110.283322222222
20,32.0,256.0,207.52333333333334,3183.7027888888892
21,29.0,256.0,200.49666666666667,2691.163322222222
22,30.0,120.0,117.45,187.3741666666667
23,28.0,256.0,209.75,3002.5941666666668
24,27.0,256.0,217.81,2777.6339
25,27.0,256.0,218.27666666666667,2721.700122222222
26,27.0,256.0,222.91666666666666,2713.8497222222227
27,27.0,256.0,231.11333333333334,2279.8271555555557
28,27.0,256.0,223.38333333333333,2542.8497222222227
29,27.0,256.0,224.98,2533.766266666667
30,31.0,256.0,223.0,2669.92
31,27.0,256.0,224.38,2657.2422666666666
32,27.0,256.0,223.77333333333334,2373.4486222222217
33,27.0,256.0,217.78333333333333,3514.1963888888886
34,27.0,256.0,225.68666666666667,2692.8151555555555
35,31.0,256.0,223.71333333333334,2540.2778222222228
36,27.0,256.0,226.86666666666667,2772.6422222222222
37,27.0,256.0,221.30666666666667,3353.552622222222
38,27.0,256.0,224.94,2772.483066666666
39,27.0,257.0,237.85666666666665,2098.522788888889
40,27.0,256.0,215.11333333333334,3396.1804888888882
41,27.0,256.0,122.10333333333334,258.03932222222227
